연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2018,10대(남),673,63,7,3,0,0,11
2018,10대(여),61,0,0,0,0,0,0
2018,20대(남),21551,4312,940,186,33,8,6
2018,20대(여),2644,246,26,6,1,0,0
2018,30대(남),21674,10814,4513,1495,491,161,92
2018,30대(여),4101,872,195,54,7,1,2
2018,40대(남),15240,10793,6008,2637,1078,419,258
2018,40대(여),4242,1346,440,126,34,1,1
2018,50대(남),10811,8353,4945,2443,1155,490,370
2018,50대(여),1693,706,299,103,24,11,8
2018,60대(남),3833,2544,1431,733,329,169,104
2018,60대(여),263,120,42,17,4,3,0
2018,70대 이상(남),927,445,176,81,33,17,11
2018,70대 이상(여),14,4,0,0,0,0,0
2018,불상,2441,30,3,0,0,0,3
