연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2020,20대(남),15350,2997,648,146,27,1,2
2020,20대(여),1928,181,18,2,0,1,0
2020,30대(남),13951,6463,2707,998,352,136,57
2020,30대(여),2600,553,124,29,6,3,0
2020,40대(남),9755,7169,4021,2024,849,345,252
2020,40대(여),2897,945,326,72,33,10,2
2020,50대(남),8132,6231,3838,1987,982,489,373
2020,50대(여),1516,637,257,103,32,11,4
2020,60대(남),3462,2499,1603,793,413,207,186
2020,60대(여),311,143,70,16,6,3,1
2020,70대 이상(남),854,417,216,99,34,22,17
2020,70대 이상(여),16,4,1,0,0,0,0
2020,불상,3457,108,7,4,1,0,7
