연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2017,10대(남),1162,83,15,3,1,0,1
2017,10대(여),76,2,0,0,0,0,0
2017,20대(남),27127,5556,1138,221,37,17,55
2017,20대(여),3217,290,36,3,2,0,0
2017,30대(남),28271,13917,5737,1978,698,221,137
2017,30대(여),5066,1185,240,59,16,1,0
2017,40대(남),20117,14194,7696,3200,1380,525,419
2017,40대(여),5318,1701,504,131,34,10,47
2017,50대(남),13599,10015,5896,2797,1313,586,454
2017,50대(여),2033,806,318,103,33,5,5
2017,60대(남),4445,2834,1593,768,342,146,148
2017,60대(여),241,116,42,10,8,3,0
2017,70대 이상(남),969,422,178,91,32,13,18
2017,70대 이상(여),15,3,0,0,0,0,0
2017,불상,2929,6,3,0,0,0,5
